model_size_pct,data_subset_pct,step,train_loss,test_accuracy,test_error_rate,test_f1,test_precision,elapsed_sec
12.5,1,500,0.32559,0.25467,0.74533,0.2326,0.30449,20.71
12.5,1,1000,0.03062,0.298,0.702,0.29047,0.30435,28.03
12.5,1,1500,0.01745,0.298,0.702,0.28555,0.30927,35.29
12.5,1,2000,0.00626,0.23533,0.76467,0.19092,0.2266,42.62
12.5,1,2500,0.01506,0.266,0.734,0.24827,0.25559,50.02
12.5,1,3000,0.00261,0.23867,0.76133,0.20387,0.22934,57.55
12.5,1,3500,0.01378,0.23533,0.76467,0.22607,0.23471,64.99
12.5,1,4000,0.00038,0.25067,0.74933,0.23949,0.2449,72.43
12.5,1,4500,0.00013,0.23733,0.76267,0.2236,0.22577,79.78
12.5,1,5000,8e-05,0.26133,0.73867,0.25187,0.26149,87.19
12.5,1,5500,7e-05,0.26267,0.73733,0.24516,0.25783,94.65
12.5,1,6000,6e-05,0.25733,0.74267,0.24137,0.24761,102.09
12.5,1,6500,3e-05,0.27267,0.72733,0.26182,0.2699,109.54
12.5,1,7000,0.00121,0.24333,0.75667,0.2163,0.25198,116.95
12.5,1,7500,0.00174,0.218,0.782,0.19502,0.20544,124.38
12.5,1,8000,0.00038,0.224,0.776,0.20696,0.21841,131.81
12.5,1,8500,4e-05,0.22667,0.77333,0.21116,0.22541,139.28
12.5,1,9000,3e-05,0.22467,0.77533,0.20647,0.22171,146.75
12.5,1,9500,7e-05,0.23133,0.76867,0.21956,0.23129,154.19
12.5,1,10000,2e-05,0.22667,0.77333,0.20986,0.22608,161.57
12.5,2,500,0.26869,0.358,0.642,0.33426,0.40806,13.55
12.5,2,1000,0.0379,0.378,0.622,0.35022,0.35518,22.46
12.5,2,1500,0.00323,0.336,0.664,0.32296,0.38175,31.37
12.5,2,2000,0.01666,0.37467,0.62533,0.35074,0.36728,40.28
12.5,2,2500,0.00393,0.38533,0.61467,0.38356,0.3928,49.2
12.5,2,3000,0.00165,0.41,0.59,0.40359,0.41364,57.96
12.5,2,3500,0.01198,0.32533,0.67467,0.32048,0.32732,66.93
12.5,2,4000,0.01298,0.32933,0.67067,0.32116,0.35598,75.88
12.5,2,4500,0.00488,0.33733,0.66267,0.33593,0.3423,84.88
12.5,2,5000,0.0001,0.364,0.636,0.36331,0.37259,93.85
12.5,2,5500,0.00039,0.33933,0.66067,0.32836,0.34403,102.79
12.5,2,6000,7e-05,0.36933,0.63067,0.35848,0.3589,111.72
12.5,2,6500,2e-05,0.372,0.628,0.36041,0.35835,120.78
12.5,2,7000,0.00021,0.374,0.626,0.37246,0.38272,129.8
12.5,2,7500,3e-05,0.37,0.63,0.36777,0.38296,138.63
