model_size_pct,data_subset_pct,step,train_loss,test_accuracy,test_error_rate,test_f1,test_precision,elapsed_sec
12.5,1,500,0.29253,0.246,0.754,0.21355,0.27039,21.1
12.5,1,1000,0.04395,0.31667,0.68333,0.2896,0.31514,28.61
12.5,1,1500,0.01172,0.22133,0.77867,0.21719,0.25211,36.1
12.5,1,2000,0.0159,0.296,0.704,0.2889,0.31293,43.56
12.5,1,2500,0.00064,0.282,0.718,0.27004,0.27773,51.03
12.5,2,500,0.27603,0.29467,0.70533,0.29548,0.3805,13.32
12.5,2,1000,0.02516,0.34067,0.65933,0.32853,0.35552,22.0
12.5,2,1500,0.01498,0.37067,0.62933,0.36357,0.36808,30.59
12.5,2,2000,0.00267,0.384,0.616,0.38322,0.43675,39.11
12.5,2,2500,0.01217,0.34267,0.65733,0.33725,0.34167,47.64
12.5,2,3000,0.00461,0.38467,0.61533,0.37323,0.37695,56.18
12.5,2,3500,0.00302,0.38067,0.61933,0.35821,0.36892,64.74
12.5,5,500,0.27634,0.67933,0.32067,0.66769,0.66705,16.85
12.5,5,1000,0.00022,0.682,0.318,0.66833,0.66942,27.04
12.5,5,1500,7e-05,0.68067,0.31933,0.66819,0.66879,37.17
12.5,5,2000,0.17114,0.728,0.272,0.72588,0.73549,47.34
12.5,5,2500,0.00627,0.736,0.264,0.7307,0.74107,57.53
12.5,5,3000,0.00064,0.76667,0.23333,0.76429,0.76718,67.72
12.5,5,3500,0.0003,0.74267,0.25733,0.73981,0.75744,77.94
12.5,5,4000,0.03974,0.742,0.258,0.73905,0.74285,88.13
12.5,5,4500,0.00817,0.65333,0.34667,0.6518,0.66932,98.3
12.5,10,500,0.33651,0.57733,0.42267,0.56838,0.64846,17.37
12.5,10,1000,0.0032,0.728,0.272,0.72261,0.7257,27.77
12.5,10,1500,0.0001,0.72333,0.27667,0.71603,0.72002,38.13
12.5,10,2000,5e-05,0.73,0.27,0.72448,0.72783,48.77
12.5,10,2500,4e-05,0.73333,0.26667,0.72751,0.73129,59.59
