model_size_pct,data_subset_pct,step,train_loss,test_accuracy,test_error_rate,test_f1,test_precision,elapsed_sec
12.5,3,500,0.26111,0.318,0.682,0.25542,0.37254,23.41
12.5,3,1000,0.02995,0.464,0.536,0.43869,0.45297,33.46
12.5,3,1500,0.00712,0.418,0.582,0.42863,0.48765,43.66
12.5,3,2000,0.01015,0.50867,0.49133,0.49111,0.4912,53.97
12.5,3,2500,0.01308,0.476,0.524,0.46293,0.45978,64.31
12.5,3,3000,0.00016,0.46333,0.53667,0.45189,0.44946,74.62
12.5,3,3500,0.0001,0.48667,0.51333,0.47057,0.47082,84.9
12.5,7,500,0.27274,0.67933,0.32067,0.67031,0.668,16.57
12.5,7,1000,0.00022,0.67133,0.32867,0.6637,0.66047,28.22
12.5,7,1500,5e-05,0.676,0.324,0.66652,0.66479,39.86
12.5,7,2000,3e-05,0.67733,0.32267,0.66643,0.66531,51.41
12.5,15,500,0.43111,0.55667,0.44333,0.51482,0.59968,17.34
12.5,15,1000,0.02268,0.77533,0.22467,0.76955,0.77336,29.17
12.5,15,1500,0.0652,0.70933,0.29067,0.70027,0.72242,40.9
12.5,15,2000,0.0015,0.774,0.226,0.77018,0.77118,52.68
12.5,15,2500,0.00034,0.77067,0.22933,0.76875,0.77094,64.47
12.5,30,500,0.56649,0.68067,0.31933,0.6785,0.76605,18.63
12.5,30,1000,0.08025,0.846,0.154,0.84511,0.84792,30.48
12.5,30,1500,0.04326,0.818,0.182,0.81508,0.83032,42.39
12.5,30,2000,0.00525,0.862,0.138,0.8604,0.86344,54.43
12.5,30,2500,0.00025,0.86933,0.13067,0.86787,0.86949,66.37
12.5,30,3000,0.00011,0.87067,0.12933,0.86916,0.87165,78.06
12.5,30,3500,7e-05,0.864,0.136,0.86217,0.86393,89.69
12.5,30,4000,5e-05,0.86733,0.13267,0.86533,0.86877,101.3
12.5,70,500,0.68509,0.718,0.282,0.70826,0.77092,18.58
12.5,70,1000,0.21696,0.874,0.126,0.87326,0.88703,30.11
12.5,70,1500,0.1018,0.922,0.078,0.92095,0.92543,41.46
12.5,70,2000,0.07516,0.92733,0.07267,0.92628,0.93005,53.28
12.5,70,2500,0.03446,0.844,0.156,0.84041,0.8613,64.75
12.5,70,3000,0.02513,0.962,0.038,0.96207,0.96296,76.29
12.5,70,3500,0.03355,0.95533,0.04467,0.95523,0.95563,87.85
12.5,70,4000,0.0085,0.95533,0.04467,0.9552,0.95572,99.55
12.5,70,4500,0.02157,0.90933,0.09067,0.91005,0.92107,111.1
25.0,3,500,0.24669,0.33467,0.66533,0.3018,0.47275,27.92
25.0,3,1000,0.02645,0.504,0.496,0.49751,0.51394,39.65
25.0,3,1500,0.00905,0.45333,0.54667,0.43901,0.45529,51.48
25.0,3,2000,0.00959,0.48067,0.51933,0.4684,0.46988,63.39
25.0,3,2500,0.0205,0.48,0.52,0.47661,0.48893,75.23
25.0,7,500,0.27077,0.55867,0.44133,0.55358,0.60508,20.42
25.0,7,1000,0.00123,0.66467,0.33533,0.65349,0.65224,33.76
25.0,7,1500,4e-05,0.66333,0.33667,0.65082,0.6478,47.05
25.0,7,2000,3e-05,0.67133,0.32867,0.65939,0.65836,60.32
25.0,7,2500,2e-05,0.67,0.33,0.65801,0.6557,73.61
25.0,7,3000,1e-05,0.67467,0.32533,0.66106,0.66164,86.92
25.0,7,3500,1e-05,0.66933,0.33067,0.65767,0.65509,100.22
25.0,15,500,0.3925,0.61533,0.38467,0.59616,0.64689,20.98
25.0,15,1000,0.04646,0.70067,0.29933,0.70123,0.72803,34.48
25.0,15,1500,0.02352,0.76467,0.23533,0.75723,0.75788,47.99
25.0,15,2000,0.00016,0.76,0.24,0.75391,0.7569,61.4
25.0,15,2500,0.04684,0.768,0.232,0.76035,0.76063,74.81
25.0,15,3000,0.00108,0.70467,0.29533,0.69763,0.72662,88.24
25.0,30,500,0.53411,0.65533,0.34467,0.67006,0.76611,20.69
25.0,30,1000,0.07324,0.786,0.214,0.77718,0.80881,34.54
25.0,30,1500,0.01925,0.88133,0.11867,0.87981,0.88084,48.41
25.0,30,2000,0.00022,0.886,0.114,0.88484,0.88468,62.19
25.0,30,2500,9e-05,0.88667,0.11333,0.88527,0.88573,75.94
25.0,30,3000,7e-05,0.884,0.116,0.88287,0.88395,89.79
25.0,30,3500,5e-05,0.88267,0.11733,0.88152,0.88251,103.61
25.0,30,4000,4e-05,0.884,0.116,0.88204,0.88379,117.44
25.0,70,500,0.67348,0.748,0.252,0.73243,0.78422,20.21
25.0,70,1000,0.21687,0.85667,0.14333,0.85681,0.87771,33.99
25.0,70,1500,0.09533,0.85,0.15,0.85428,0.87986,47.85
25.0,70,2000,0.042,0.94467,0.05533,0.94429,0.9462,61.7
25.0,70,2500,0.04286,0.94,0.06,0.93969,0.94137,75.52
25.0,70,3000,0.03952,0.92467,0.07533,0.92544,0.93218,89.44
25.0,70,3500,0.00916,0.92,0.08,0.92039,0.92423,103.33
50.0,3,500,0.23081,0.30333,0.69667,0.26043,0.34114,30.18
50.0,3,1000,0.03367,0.53867,0.46133,0.53508,0.54209,50.42
50.0,3,1500,0.00683,0.428,0.572,0.42083,0.47748,70.76
50.0,3,2000,0.02228,0.47133,0.52867,0.46327,0.46144,91.02
50.0,3,2500,0.00041,0.52667,0.47333,0.51272,0.51481,111.36
50.0,7,500,0.27366,0.39533,0.60467,0.35019,0.51822,27.43
50.0,7,1000,0.00732,0.66333,0.33667,0.65504,0.65739,50.59
50.0,7,1500,4e-05,0.67267,0.32733,0.66409,0.66542,73.8
