model_size_pct,data_subset_pct,step,train_loss,test_accuracy,test_error_rate,test_f1,test_precision,elapsed_sec
12.5,1,500,0.30448,0.21733,0.78267,0.15964,0.26635,21.31
12.5,1,1000,0.03535,0.22267,0.77733,0.20445,0.23425,29.44
12.5,1,1500,0.01329,0.30067,0.69933,0.28575,0.30245,37.57
12.5,1,2000,0.00494,0.22467,0.77533,0.20867,0.26303,45.57
12.5,1,2500,0.00543,0.238,0.762,0.22603,0.22843,53.49
12.5,1,3000,0.00321,0.21933,0.78067,0.21013,0.21743,61.53
12.5,1,3500,0.00037,0.246,0.754,0.22829,0.23315,69.59
12.5,1,4000,5e-05,0.256,0.744,0.23436,0.2392,77.69
12.5,1,4500,7e-05,0.26,0.74,0.24219,0.24933,85.82
12.5,1,5000,0.00756,0.23067,0.76933,0.22484,0.23898,93.92
12.5,1,5500,0.00075,0.224,0.776,0.21615,0.2201,101.99
12.5,1,6000,0.00049,0.24533,0.75467,0.22812,0.22867,110.04
12.5,1,6500,0.00025,0.234,0.766,0.22061,0.23422,118.11
12.5,1,7000,7e-05,0.25133,0.74867,0.23491,0.24034,126.19
12.5,1,7500,5e-05,0.24867,0.75133,0.23454,0.23984,134.24
12.5,1,8000,5e-05,0.248,0.752,0.24016,0.25025,142.28
12.5,2,500,0.26427,0.36,0.64,0.3412,0.45893,14.26
12.5,2,1000,0.01835,0.44133,0.55867,0.43044,0.43453,23.75
12.5,2,1500,0.02988,0.40467,0.59533,0.39015,0.40663,33.37
12.5,2,2000,0.00716,0.27133,0.72867,0.24938,0.36335,42.91
12.5,2,2500,0.01237,0.264,0.736,0.25915,0.29787,52.46
12.5,2,3000,0.00562,0.36333,0.63667,0.35872,0.37154,61.97
12.5,2,3500,0.00023,0.37467,0.62533,0.3669,0.37779,71.44
12.5,2,4000,5e-05,0.39267,0.60733,0.38392,0.39464,80.87
12.5,2,4500,3e-05,0.39333,0.60667,0.38509,0.39124,90.05
12.5,2,5000,2e-05,0.39267,0.60733,0.38465,0.39225,99.18
12.5,2,5500,2e-05,0.40133,0.59867,0.39471,0.39821,108.44
12.5,2,6000,3e-05,0.39333,0.60667,0.38875,0.39562,117.7
12.5,2,6500,3e-05,0.38667,0.61333,0.38388,0.38826,126.9
12.5,2,7000,2e-05,0.394,0.606,0.38869,0.39175,136.27
12.5,2,7500,5e-05,0.38933,0.61067,0.38361,0.38502,145.46
12.5,2,8000,2e-05,0.39,0.61,0.38367,0.38625,154.76
12.5,5,500,0.26597,0.672,0.328,0.65768,0.66412,17.43
12.5,5,1000,0.06183,0.69067,0.30933,0.68425,0.69002,27.87
12.5,5,1500,0.0029,0.664,0.336,0.65575,0.663,38.37
12.5,5,2000,0.00019,0.66933,0.33067,0.66034,0.66559,48.73
12.5,5,2500,9e-05,0.676,0.324,0.6663,0.66949,59.83
12.5,5,3000,7e-05,0.68067,0.31933,0.67134,0.67495,71.2
12.5,5,3500,4e-05,0.68133,0.31867,0.67095,0.67545,82.56
12.5,5,4000,8e-05,0.674,0.326,0.66589,0.66826,93.95
12.5,5,4500,0.04101,0.648,0.352,0.64704,0.65314,105.28
12.5,5,5000,0.00075,0.694,0.306,0.68584,0.68415,116.52
12.5,5,5500,0.0002,0.69,0.31,0.68164,0.68008,127.71
12.5,5,6000,0.00021,0.68133,0.31867,0.67048,0.6701,139.01
12.5,5,6500,0.00012,0.69,0.31,0.67974,0.67747,150.3
12.5,5,7000,9e-05,0.69,0.31,0.68021,0.67924,161.61
12.5,5,7500,0.0001,0.69133,0.30867,0.68058,0.67852,173.01
12.5,5,8000,8e-05,0.68533,0.31467,0.67488,0.67477,184.46
12.5,10,500,0.3272,0.68933,0.31067,0.68438,0.69046,21.06
12.5,10,1000,0.00053,0.742,0.258,0.73142,0.73362,33.14
12.5,10,1500,0.0001,0.746,0.254,0.73645,0.73869,45.25
12.5,10,2000,6e-05,0.74867,0.25133,0.73891,0.74137,57.42
12.5,10,2500,4e-05,0.74933,0.25067,0.7393,0.74166,69.5
12.5,10,3000,3e-05,0.752,0.248,0.74243,0.74452,81.49
12.5,10,3500,2e-05,0.74867,0.25133,0.73775,0.74061,93.57
12.5,10,4000,2e-05,0.74733,0.25267,0.73728,0.74046,105.74
12.5,10,4500,1e-05,0.75067,0.24933,0.74044,0.74468,117.91
12.5,10,5000,1e-05,0.75267,0.24733,0.74298,0.74597,130.04
12.5,10,5500,1e-05,0.754,0.246,0.74398,0.747,142.12
12.5,10,6000,1e-05,0.75267,0.24733,0.74364,0.74705,154.2
12.5,10,6500,1e-05,0.75267,0.24733,0.74223,0.74596,166.27
12.5,10,7000,1e-05,0.75733,0.24267,0.74846,0.75101,178.42
12.5,10,7500,1e-05,0.75867,0.24133,0.74927,0.75205,190.32
12.5,10,8000,1e-05,0.75,0.25,0.73924,0.7435,202.48
12.5,20,500,0.46379,0.69667,0.30333,0.66664,0.73416,20.89
12.5,20,1000,0.01518,0.832,0.168,0.8287,0.82948,33.07
12.5,20,1500,0.06968,0.80933,0.19067,0.80551,0.80464,45.05
12.5,20,2000,0.00183,0.81733,0.18267,0.81408,0.81379,57.02
12.5,20,2500,0.00022,0.81267,0.18733,0.80729,0.80711,68.96
12.5,20,3000,0.00013,0.81867,0.18133,0.81357,0.8144,80.97
12.5,20,3500,8e-05,0.814,0.186,0.80886,0.80874,92.98
12.5,20,4000,7e-05,0.81867,0.18133,0.81404,0.81462,105.04
12.5,20,4500,6e-05,0.81733,0.18267,0.81233,0.81332,117.14
12.5,20,5000,4e-05,0.81667,0.18333,0.81148,0.81214,129.3
12.5,20,5500,4e-05,0.82067,0.17933,0.81607,0.81623,141.48
12.5,20,6000,3e-05,0.814,0.186,0.80903,0.80992,153.57
12.5,20,6500,3e-05,0.81467,0.18533,0.81011,0.81011,165.76
12.5,20,7000,3e-05,0.818,0.182,0.81307,0.81368,177.79
12.5,20,7500,3e-05,0.81933,0.18067,0.81457,0.81506,189.78
12.5,20,8000,2e-05,0.81933,0.18067,0.8144,0.81568,201.94
12.5,50,500,0.63668,0.76133,0.23867,0.75288,0.78201,20.52
12.5,50,1000,0.15349,0.892,0.108,0.89041,0.89942,32.54
12.5,50,1500,0.05114,0.85867,0.14133,0.85947,0.8738,44.72
12.5,50,2000,0.03049,0.88533,0.11467,0.88428,0.89541,56.79
12.5,50,2500,0.03256,0.94067,0.05933,0.94044,0.94123,68.92
12.5,50,3000,0.0014,0.94733,0.05267,0.94724,0.94759,80.96
12.5,50,3500,0.00032,0.944,0.056,0.9437,0.94405,93.23
12.5,50,4000,0.0002,0.95133,0.04867,0.95125,0.95162,105.31
12.5,50,4500,0.00014,0.948,0.052,0.94796,0.94833,117.46
12.5,50,5000,0.00011,0.95067,0.04933,0.95048,0.95094,129.65
12.5,50,5500,8e-05,0.95333,0.04667,0.95321,0.9537,141.9
12.5,50,6000,7e-05,0.948,0.052,0.94778,0.94836,154.12
12.5,50,6500,7e-05,0.94933,0.05067,0.94922,0.94971,166.29
12.5,50,7000,6e-05,0.95,0.05,0.94981,0.95034,178.76
12.5,50,7500,6e-05,0.94667,0.05333,0.94648,0.94727,190.86
12.5,50,8000,7e-05,0.948,0.052,0.94789,0.94852,203.06
12.5,100,500,0.70425,0.79467,0.20533,0.79473,0.82969,20.2
12.5,100,1000,0.24487,0.86067,0.13933,0.85892,0.8822,32.19
12.5,100,1500,0.13727,0.942,0.058,0.9415,0.9442,44.19
12.5,100,2000,0.0795,0.948,0.052,0.94803,0.94926,56.2
12.5,100,2500,0.04752,0.948,0.052,0.94772,0.9499,68.19
12.5,100,3000,0.03774,0.90533,0.09467,0.90007,0.91489,80.32
12.5,100,3500,0.02982,0.97133,0.02867,0.9713,0.97154,92.4
12.5,100,4000,0.00719,0.97667,0.02333,0.97664,0.97671,103.99
12.5,100,4500,0.00321,0.954,0.046,0.95399,0.95583,115.31
12.5,100,5000,0.0109,0.97867,0.02133,0.97863,0.97878,126.82
12.5,100,5500,0.00333,0.97867,0.02133,0.97865,0.97869,138.26
12.5,100,6000,0.00125,0.97267,0.02733,0.97262,0.97285,149.63
12.5,100,6500,0.00061,0.97467,0.02533,0.97463,0.97475,160.92
12.5,100,7000,0.00033,0.97667,0.02333,0.97664,0.97672,172.38
12.5,100,7500,0.00028,0.97867,0.02133,0.97864,0.9787,183.82
12.5,100,8000,0.00026,0.97733,0.02267,0.97733,0.9774,195.37
25.0,1,500,0.29176,0.266,0.734,0.24752,0.29603,24.21
25.0,1,1000,0.03755,0.22733,0.77267,0.22291,0.24685,32.99
25.0,1,1500,0.00495,0.24267,0.75733,0.23051,0.25353,41.77
25.0,1,2000,0.01976,0.246,0.754,0.22849,0.2572,50.59
25.0,1,2500,0.00497,0.27867,0.72133,0.27984,0.29255,59.51
25.0,1,3000,0.00026,0.29,0.71,0.28297,0.28316,68.21
25.0,1,3500,9e-05,0.298,0.702,0.2825,0.28331,77.01
25.0,1,4000,3e-05,0.29667,0.70333,0.28906,0.29736,85.78
25.0,1,4500,0.01295,0.264,0.736,0.25451,0.26519,94.57
25.0,1,5000,0.00049,0.28067,0.71933,0.26414,0.27672,103.43
25.0,1,5500,0.00124,0.23867,0.76133,0.22456,0.25251,112.11
25.0,1,6000,9e-05,0.23533,0.76467,0.22931,0.25417,120.94
