seed,tamanho_dataset,fracao_parametros_modelo,total_parametros,loss_slope_final,test_error,f1_score_macro,precision_macro
42,40,0.125,177362,-3.832585e-09,0.730667,0.241454,0.254844
43,40,0.125,177362,-5.497300e-09,0.786667,0.183639,0.198055
44,40,0.125,177362,-4.625767e-09,0.737333,0.254457,0.344614
45,40,0.125,177362,-3.485363e-09,0.760667,0.229708,0.278878
46,40,0.125,177362,-4.751148e-09,0.758000,0.214462,0.242019
42,80,0.125,177362,2.094560e-08,0.684667,0.305093,0.315754
43,80,0.125,177362,2.937544e-08,0.756667,0.218354,0.220639
44,80,0.125,177362,2.970955e-08,0.701333,0.283825,0.329575
45,80,0.125,177362,6.350544e-09,0.697333,0.294373,0.318358
46,80,0.125,177362,2.162825e-08,0.738667,0.235860,0.271396
42,210,0.125,177362,6.666017e-08,0.624000,0.368298,0.380857
43,210,0.125,177362,-7.479913e-08,0.668000,0.321960,0.319489
44,210,0.125,177362,-1.360617e-08,0.631333,0.362892,0.379734
45,210,0.125,177362,3.616649e-07,0.641333,0.353394,0.365852
46,210,0.125,177362,-1.890721e-07,0.662000,0.325473,0.339914
42,420,0.125,177362,-9.874718e-07,0.557333,0.432748,0.436899
43,420,0.125,177362,-6.797100e-07,0.616667,0.373208,0.371596
44,420,0.125,177362,1.708382e-07,0.562000,0.431468,0.439220
45,420,0.125,177362,-2.834277e-07,0.567333,0.421524,0.429425
46,420,0.125,177362,-6.503874e-08,0.590000,0.404904,0.407163
